,dispatching_base_number,date,active_vehicles,trips
172,B02512,1/29/2015,250,1687
173,B02598,1/29/2015,1082,9499
174,B02512,1/30/2015,256,2016
175,B02617,1/30/2015,1501,14793
176,B02682,1/30/2015,1384,13852
177,B02764,1/30/2015,4124,39110
178,B02765,1/30/2015,322,2785
179,B02598,1/30/2015,1106,11167
180,B02765,1/31/2015,309,3282
181,B02512,1/31/2015,225,1892
182,B02617,1/31/2015,1394,15756
183,B02682,1/31/2015,1321,15388
184,B02764,1/31/2015,3947,44297
185,B02598,1/31/2015,1027,11642
186,B02598,2/1/2015,961,9499
187,B02682,2/1/2015,1214,12436
188,B02512,2/1/2015,193,1377
189,B02765,2/1/2015,289,2672
190,B02617,2/1/2015,1355,13458
191,B02764,2/1/2015,3740,37468
192,B02617,2/2/2015,1217,12216
193,B02682,2/2/2015,1152,11981
194,B02765,2/2/2015,275,2607
195,B02598,2/2/2015,939,9511
196,B02764,2/2/2015,3270,30761
197,B02512,2/2/2015,227,1904
198,B02765,2/3/2015,299,2410
199,B02598,2/3/2015,991,9602
200,B02512,2/3/2015,257,1915
201,B02764,2/3/2015,3674,31641
202,B02617,2/3/2015,1350,12665
203,B02682,2/3/2015,1269,11955
204,B02764,2/4/2015,3856,29994
205,B02765,2/4/2015,309,2334
206,B02512,2/4/2015,244,1639
207,B02682,2/4/2015,1311,11309
208,B02617,2/4/2015,1393,11959
209,B02598,2/4/2015,1072,9600
210,B02617,2/5/2015,1524,14499
211,B02682,2/5/2015,1418,13782
212,B02598,2/5/2015,1179,11609
213,B02512,2/5/2015,264,2022
214,B02765,2/5/2015,355,3011
215,B02764,2/5/2015,4093,35990
216,B02617,2/6/2015,1526,15417
217,B02765,2/6/2015,385,3569
218,B02598,2/6/2015,1181,11897
219,B02512,2/6/2015,261,1989
220,B02764,2/6/2015,4170,38693
221,B02682,2/6/2015,1414,14375
222,B02598,2/7/2015,1031,10512
223,B02512,2/7/2015,211,1504
224,B02617,2/7/2015,1383,13688
225,B02682,2/7/2015,1300,13450
226,B02764,2/7/2015,3849,38530
227,B02765,2/7/2015,345,3473
